feature,reduced_feature,label,n_members
1b9bdb8182f6ee15da8d4ff1bdff03c8,F00000,009E01_B_SD_P15,1
0247e2c1c5332be818ada86088173ada,F00001,0247e2c1c5332be818ada86088173ada,1
0288460a8fc8f72d19bd9217c24f5135,F00002,0288460a8fc8f72d19bd9217c24f5135,1
02df43114f2adb3c04cd092ba73f196e,F00003,02df43114f2adb3c04cd092ba73f196e,1
031f8476e1271966343ab51e5443b59f,F00004,031f8476e1271966343ab51e5443b59f,1
03c4257a646710da0577fb8e0ba616fe,F00005,03c4257a646710da0577fb8e0ba616fe,1
0a1ec22d7b03eca64d3db89c75e1ec7f,F00006,0a1ec22d7b03eca64d3db89c75e1ec7f,1
0eea472c01ef9c1499f8038cfc249a61,F00007,0eea472c01ef9c1499f8038cfc249a61,1
106c260a6ea18a5a0624d5d127edd0f4,F00008,106c260a6ea18a5a0624d5d127edd0f4,1
10968e35ba58754a49a3d1999acb5719,F00009,10968e35ba58754a49a3d1999acb5719,1
12e9b7352b61020a62dbc22aaab8bdb6,F00010,12e9b7352b61020a62dbc22aaab8bdb6,1
13524c7ee4f8d0cf97053eca3d593108,F00011,13524c7ee4f8d0cf97053eca3d593108,1
14de578b5b76a433794d04871c7e8ecc,F00012,14de578b5b76a433794d04871c7e8ecc,1
15b10aa7b4efdf3697e8f22122c10a1b,F00013,15b10aa7b4efdf3697e8f22122c10a1b,1
16ef1ff98dad2cf16777aaa2c0d33635,F00014,16ef1ff98dad2cf16777aaa2c0d33635,1
1ce759a51bda6ccfa8244bc3c73acd10,F00015,1ce759a51bda6ccfa8244bc3c73acd10,1
1ed98a75337c32869761974b999be691,F00016,1ed98a75337c32869761974b999be691,1
2d29d304f6a8155a1507f1d00b5e16b5,F00017,2d29d304f6a8155a1507f1d00b5e16b5,1
2e6f7e61545c37522edb1a3a46092f9d,F00018,2e6f7e61545c37522edb1a3a46092f9d,1
2f83747f714464ed96b5639a7cd34d71,F00019,2f83747f714464ed96b5639a7cd34d71,1
30e2b362b5ba93d3b902c198691e516f,F00020,30e2b362b5ba93d3b902c198691e516f,1
33b18ef5ceb971d2966993e0b5e29188,F00021,33b18ef5ceb971d2966993e0b5e29188,1
35993143ba47887190a150f2e9f15bc9,F00022,35993143ba47887190a150f2e9f15bc9,1
35f9d4ff42ea1470daeb4a8e28463324,F00023,35f9d4ff42ea1470daeb4a8e28463324,1
361f2df80441ef8eb137e2ec8402ed36,F00024,361f2df80441ef8eb137e2ec8402ed36,1
377afcc535a8ae7f153d4359a0477cd0,F00025,377afcc535a8ae7f153d4359a0477cd0,1
3857ebadedaf8d48a64643ac537f23ac,F00026,3857ebadedaf8d48a64643ac537f23ac,1
3b15dc02d49572578f0b8e6d45cb0f3b,F00027,3b15dc02d49572578f0b8e6d45cb0f3b,1
3e3344634c040b0c5ced49430042ec57,F00028,3e3344634c040b0c5ced49430042ec57,1
435f39f62652e6b6968e0e38942ef70b,F00029,435f39f62652e6b6968e0e38942ef70b,1
438b96dda03253c86b040473e331369b,F00030,438b96dda03253c86b040473e331369b,1
47a8022ade8fe9825dd1ff3e66baa5f8,F00031,47a8022ade8fe9825dd1ff3e66baa5f8,1
4b90c775ff1aa9cc71122804f9d75158,F00032,4b90c775ff1aa9cc71122804f9d75158,1
4f2657772c60bce3a9cabb3a71d6c7cd,F00033,4f2657772c60bce3a9cabb3a71d6c7cd,1
4f34f00452ca19725ccfe33dfad6fd6b,F00034,4f34f00452ca19725ccfe33dfad6fd6b,1
50fc0b70e4d8a362cf6fcd60ae67a72a,F00035,50fc0b70e4d8a362cf6fcd60ae67a72a,1
5759561b4e140fbf2533a63454e1a4be,F00036,5759561b4e140fbf2533a63454e1a4be,1
5b30303e199d03118e30e8fd32efcef1,F00037,5b30303e199d03118e30e8fd32efcef1,1
5b84e1329943a7797ba1b4db68e0c3ad,F00038,5b84e1329943a7797ba1b4db68e0c3ad,1
623318b3d30566e96defb631a11ca206,F00039,623318b3d30566e96defb631a11ca206,1
6540b2b998278145e68d97a398ae8d66,F00040,6540b2b998278145e68d97a398ae8d66,1
6552c3aa770d6e12a0e4c7fb2fa068b9,F00041,6552c3aa770d6e12a0e4c7fb2fa068b9,1
6d01fcfe880f04e229f7a6ce3d196620,F00042,6d01fcfe880f04e229f7a6ce3d196620,1
6d4d50ac7653a9930959af73a95f0d2c,F00043,6d4d50ac7653a9930959af73a95f0d2c,1
746d271153e4337960cdc2acc332c6be,F00044,746d271153e4337960cdc2acc332c6be,1
793ab35fa091239fec49e5b40962fca3,F00045,793ab35fa091239fec49e5b40962fca3,1
796ba8e19ff016fb873edbb5bf1ca811,F00046,796ba8e19ff016fb873edbb5bf1ca811,1
7b862f9e8821e59aa9852ad1058dfce8,F00047,7b862f9e8821e59aa9852ad1058dfce8,1
7e1f630c0c2b2a42611a19838c8d7b60,F00048,7e1f630c0c2b2a42611a19838c8d7b60,1
804fa983c1696693b8efeb70e60bc0cf,F00049,804fa983c1696693b8efeb70e60bc0cf,1
80fa627a5ed632377f103fe128c42df6,F00050,80fa627a5ed632377f103fe128c42df6,1
81c74800741a624c673eb7875e98d42a,F00051,81c74800741a624c673eb7875e98d42a,1
835807472970ae51e3ba46cfe94841e5,F00052,835807472970ae51e3ba46cfe94841e5,1
842ac4c7c442860a7c32508c2fa2ca23,F00053,842ac4c7c442860a7c32508c2fa2ca23,1
8562bd0c7b2030f6499aa587f01f9597,F00054,8562bd0c7b2030f6499aa587f01f9597,1
85d9569edcf628d231730519f6d2c721,F00055,85d9569edcf628d231730519f6d2c721,1
862ea329f13e37266efe02f85d7758fe,F00056,862ea329f13e37266efe02f85d7758fe,1
88029399fd54b2ef548289cd0cd41f53,F00057,88029399fd54b2ef548289cd0cd41f53,1
896bdc4fa49f42c5c6c8bbbe86c27843,F00058,896bdc4fa49f42c5c6c8bbbe86c27843,1
8ab62dfb84acaaf13c629a5d72dadcd8,F00059,8ab62dfb84acaaf13c629a5d72dadcd8,1
903535f1a6d58e3ba02871a1e54833f1,F00060,903535f1a6d58e3ba02871a1e54833f1,1
9179566d26530c3b58d204606eb86d33,F00061,9179566d26530c3b58d204606eb86d33,1
93a376031ead0dac31b5da5e93a8d5ff,F00062,93a376031ead0dac31b5da5e93a8d5ff,1
94611a6ae281dd1692449abe2057cd8c,F00063,94611a6ae281dd1692449abe2057cd8c,1
9490ae9295926799073350172661df92,F00064,9490ae9295926799073350172661df92,1
95331c28d940419406dcf4863889b5b1,F00065,95331c28d940419406dcf4863889b5b1,1
974ed7b1711b92daa9eb83648b5dd1cd,F00066,974ed7b1711b92daa9eb83648b5dd1cd,1
998d2dd44ba2772d3152efcad311b8ab,F00067,998d2dd44ba2772d3152efcad311b8ab,1
99aa763e645726fc3f2c490e02c9c229,F00068,99aa763e645726fc3f2c490e02c9c229,1
99cc8c707a8d51fa9e707407179da89c,F00069,99cc8c707a8d51fa9e707407179da89c,1
9a93fbf06d54b5c97bfa3a3273cef84d,F00070,9a93fbf06d54b5c97bfa3a3273cef84d,1
9b29f73825274137e406c3af4a8c5117,F00071,9b29f73825274137e406c3af4a8c5117,1
